team,name,id,transfermarktlink,birthday,marketvalue,picurl,position
BSC Young Boys,David von Ballmoos,203124,/david-von-ballmoos/profil/spieler/203124,"Dec 30, 1994",38500000,https://tmssl.akamaized.net//images/portrait/header/203124-1533134983.jpg?lm=1533134993,Goalkeeper
BSC Young Boys,Marco Wölfli,4860,/marco-wolfli/profil/spieler/4860,"Aug 22, 1982",385000,https://tmssl.akamaized.net//images/portrait/header/4860-1533135588.jpg?lm=1533135598,Goalkeeper
BSC Young Boys,Dario Marzino,254968,/dario-marzino/profil/spieler/254968,"Sep 19, 1996",165000,https://tmssl.akamaized.net//images/portrait/header/254968-1533135547.jpg?lm=1533135559,Goalkeeper
BSC Young Boys,Mohamed Camara,426723,/mohamed-camara/profil/spieler/426723,"Aug 28, 1997",33000000,https://tmssl.akamaized.net//images/portrait/header/426723-1533135666.jpg?lm=1533135680,Centre-Back
BSC Young Boys,Fabian Lustenberger,42203,/fabian-lustenberger/profil/spieler/42203,"May 2, 1988",27500000,https://tmssl.akamaized.net//images/portrait/header/42203-1532355372.jpg?lm=1532355485,Centre-Back
BSC Young Boys,Frederik Sörensen,91716,/frederik-sorensen/profil/spieler/91716,"Apr 14, 1992",16500000,https://tmssl.akamaized.net//images/portrait/header/91716-1531736286.jpg?lm=1531736343,Centre-Back
BSC Young Boys,Cédric Zesiger,382478,/cedric-zesiger/profil/spieler/382478,"Jun 24, 1998",825000,https://tmssl.akamaized.net//images/portrait/header/382478-1548261934.jpg?lm=1548262034,Centre-Back
BSC Young Boys,Nicolas Bürgy,203895,/nicolas-burgy/profil/spieler/203895,"Aug 7, 1995",550000,https://tmssl.akamaized.net//images/portrait/header/203895-1550817713.jpg?lm=1550817743,Centre-Back
BSC Young Boys,Ulisses Garcia,192616,/ulisses-garcia/profil/spieler/192616,"Jan 11, 1996",19250000,https://tmssl.akamaized.net//images/portrait/header/192616-1533135841.jpg?lm=1533135851,Left-Back
BSC Young Boys,Jordan Lotomba,313094,/jordan-lotomba/profil/spieler/313094,"Sep 29, 1998",49500000,https://tmssl.akamaized.net//images/portrait/header/313094-1533135904.jpg?lm=1533135912,Right-Back
BSC Young Boys,Saidy Janko,196435,/saidy-janko/profil/spieler/196435,"Oct 22, 1995",22000000,https://tmssl.akamaized.net//images/portrait/header/196435-1541149070.JPG?lm=1541149082,Right-Back
BSC Young Boys,Christopher Martins Pereira,248054,/christopher-martins-pereira/profil/spieler/248054,"Feb 19, 1997",22000000,https://tmssl.akamaized.net//images/portrait/header/248054-1527445270.png?lm=1527445280,DefensiveMidfield
BSC Young Boys,Michel Aebischer,237658,/michel-aebischer/profil/spieler/237658,"Jan 6, 1997",49500000,https://tmssl.akamaized.net//images/portrait/header/237658-1533136045.jpg?lm=1533136054,CentralMidfield
BSC Young Boys,Vincent Sierro,280387,/vincent-sierro/profil/spieler/280387,"Oct 8, 1995",33000000,https://tmssl.akamaized.net//images/portrait/header/280387-1502270864.jpg?lm=1502270940,CentralMidfield
BSC Young Boys,Sandro Lauper,254965,/sandro-lauper/profil/spieler/254965,"Oct 25, 1996",33000000,https://tmssl.akamaized.net//images/portrait/header/254965-1533136141.jpg?lm=1533136151,CentralMidfield
BSC Young Boys,Gianluca Gaudino,195051,/gianluca-gaudino/profil/spieler/195051,"Nov 11, 1996",550000,https://tmssl.akamaized.net//images/portrait/header/195051-1437472585.jpg?lm=1437472613,CentralMidfield
BSC Young Boys,Esteban Petignat,479480,/esteban-petignat/profil/spieler/479480,"May 17, 2000",55000,https://tmssl.akamaized.net//images/portrait/header/default.jpg?lm=1455618221,CentralMidfield
BSC Young Boys,Christian Fassnacht,250490,/christian-fassnacht/profil/spieler/250490,"Nov 11, 1993",55000000,https://tmssl.akamaized.net//images/portrait/header/250490-1533136289.jpg?lm=1533136297,RightMidfield
BSC Young Boys,Marvin Spielmann,192653,/marvin-spielmann/profil/spieler/192653,"Feb 23, 1996",55000000,https://tmssl.akamaized.net//images/portrait/header/192653-1554800076.jpg?lm=1554800092,LeftMidfield
BSC Young Boys,Miralem Sulejmani,36080,/miralem-sulejmani/profil/spieler/36080,"Dec 5, 1988",49500000,https://tmssl.akamaized.net//images/portrait/header/36080-1533136216.jpg?lm=1533136237,LeftWinger
BSC Young Boys,Felix Mambimbi,507496,/felix-mambimbi/profil/spieler/507496,"Jan 18, 2001",495000,https://tmssl.akamaized.net//images/portrait/header/default.jpg?lm=1455618221,LeftWinger
BSC Young Boys,Nicolas Moumi Ngamaleu,266768,/nicolas-moumi-ngamaleu/profil/spieler/266768,"Jul 9, 1994",66000000,https://tmssl.akamaized.net//images/portrait/header/266768-1533136320.jpg?lm=1533136327,RightWinger
BSC Young Boys,Roger Assalé,263183,/roger-assale/profil/spieler/263183,"Nov 13, 1993",82500000,https://tmssl.akamaized.net//images/portrait/header/263183-1533136348.jpg?lm=1533136361,Centre-Forward
BSC Young Boys,Jean-Pierre Nsame,225055,/jean-pierre-nsame/profil/spieler/225055,"May 1, 1993",49500000,https://tmssl.akamaized.net//images/portrait/header/225055-1533136378.jpg?lm=1533136386,Centre-Forward
BSC Young Boys,Guillaume Hoarau,23934,/guillaume-hoarau/profil/spieler/23934,"Mar 5, 1984",16500000,https://tmssl.akamaized.net//images/portrait/header/23934-1533136406.jpg?lm=1533136418,Centre-Forward
